City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
277,Urucui,BR,-7.2294,-44.5561,75.58,86,52,3.2,broken clouds
278,Atar,MR,20.5169,-13.0499,67.82,28,93,14.5,overcast clouds
279,Quimper,FR,48.0,-4.1,43.63,75,75,13.8,broken clouds
280,Kruisfontein,ZA,-34.0033,24.7314,59.81,71,50,6.42,scattered clouds
281,Flin Flon,CA,54.7682,-101.865,18.7,88,8,8.46,clear sky
282,Arrecife,ES,28.963,-13.5477,62.67,72,20,9.22,few clouds
283,Perth,AU,-31.9333,115.8333,84.38,25,0,8.05,clear sky
284,Khrebtovaya,RU,56.7032,104.2494,8.91,86,100,9.35,overcast clouds
285,Hailar,CN,49.2,119.7,9.01,92,100,3.38,overcast clouds
286,Cap-Aux-Meules,CA,47.3821,-61.8597,37.22,72,100,35.12,overcast clouds
287,Jinji,CN,23.2281,110.8261,62.31,58,70,4.21,broken clouds
288,Morant Bay,JM,17.8815,-76.4093,76.62,80,100,9.24,overcast clouds
289,Piombino,IT,42.9348,10.5221,55.78,67,100,20.33,overcast clouds
290,Micheweni,TZ,-4.9667,39.8333,78.75,82,28,6.02,scattered clouds
291,Tezu,IN,27.9167,96.1667,61.27,52,1,3.58,clear sky
292,Sun City,US,33.5975,-112.2718,71.55,23,1,5.75,clear sky
293,Ushtobe,KZ,45.2514,77.9838,25.61,49,0,13.29,clear sky
294,Hirara,JP,24.8,125.2833,73.58,65,100,32.35,overcast clouds
295,Madras,IN,13.0878,80.2785,76.98,94,40,0.0,thunderstorm with light rain
296,Fort Nelson,CA,58.8053,-122.7002,20.16,96,100,2.84,overcast clouds
297,Vaitape,PF,-16.5167,-151.75,81.41,73,16,17.87,few clouds
298,Ban Nahin,LA,18.2418,104.2122,67.89,58,11,4.83,few clouds
299,Surt,LY,31.2089,16.5887,71.92,44,94,8.77,overcast clouds
300,Mayya,RU,61.7333,130.2811,0.72,91,100,10.87,overcast clouds
301,Vila Velha,BR,-20.3297,-40.2925,75.15,78,0,9.22,clear sky
302,Jabinyanah,TN,35.035,10.9081,59.52,45,100,10.04,overcast clouds
303,Sahibganj,IN,25.25,87.65,62.76,76,6,0.67,clear sky
304,Buala,SB,-8.145,159.5921,86.38,66,25,5.7,scattered clouds
305,Cherskiy,RU,68.75,161.3,-25.04,92,22,3.27,few clouds
306,Kavieng,PG,-2.5744,150.7967,84.25,67,97,2.53,overcast clouds
307,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,4.61,clear sky
308,Seryshevo,RU,51.0933,128.3786,9.54,95,100,2.3,overcast clouds
309,Talnakh,RU,69.4865,88.3972,-0.98,97,100,7.85,overcast clouds
310,San Juan,AR,-31.5375,-68.5364,67.55,59,2,26.17,clear sky
311,Verin,ES,41.9415,-7.4381,40.01,79,8,14.79,clear sky
312,Honiara,SB,-9.4333,159.95,86.31,69,98,5.37,overcast clouds
313,Nome,US,64.5011,-165.4064,-9.33,64,1,3.44,clear sky
314,Sumenep,ID,-7.0167,113.8667,81.59,78,100,5.37,moderate rain
315,Kochubey,RU,44.3861,46.5825,43.43,93,100,6.58,overcast clouds
316,Ancud,CL,-41.8697,-73.8203,53.13,73,12,9.4,few clouds
317,Pisco,PE,-13.7,-76.2167,66.25,82,0,14.97,clear sky
318,Isangel,VU,-19.55,169.2667,86.11,70,75,11.5,broken clouds
319,Zig,US,40.127,-92.7663,52.09,46,1,12.66,clear sky
320,Bull Savanna,JM,17.8868,-77.5902,74.55,78,80,2.84,broken clouds
321,Jacareacanga,BR,-6.2222,-57.7528,74.5,96,100,1.43,light rain
322,Mattru,SL,7.6244,-11.8332,76.77,86,95,2.26,overcast clouds
323,Wajima,JP,37.4,136.9,48.65,53,26,7.76,scattered clouds
324,Inyonga,TZ,-6.7167,32.0667,66.92,73,91,3.67,overcast clouds
325,Loncoche,CL,-39.3667,-72.6333,51.58,75,0,2.19,clear sky
326,Mangrol,IN,21.1167,70.1167,74.23,61,98,8.79,overcast clouds
327,Viedma,AR,-40.8135,-62.9967,62.38,84,100,4.07,overcast clouds
328,Cockburn Town,TC,21.4612,-71.1419,75.16,73,75,6.91,broken clouds
329,Galesong,ID,-5.3166,119.3661,82.42,76,100,3.38,overcast clouds
330,Vostok,RU,46.4856,135.8833,19.53,81,17,3.2,few clouds
331,Akureyri,IS,65.6835,-18.0878,23.67,96,100,3.24,overcast clouds
332,Fairbanks,US,64.8378,-147.7164,-13.04,70,90,0.0,haze
333,Japura,ID,-0.3167,102.35,79.36,80,99,1.68,overcast clouds
334,Fougeres,FR,48.35,-1.2,41.92,71,100,18.43,overcast clouds
335,Touros,BR,-5.1989,-35.4608,81.5,71,82,13.15,broken clouds
336,Yarmouth,US,41.7057,-70.2286,35.74,55,1,8.05,clear sky
337,Talcahuano,CL,-36.7167,-73.1167,56.88,58,0,14.97,clear sky
338,Sabla,NG,12.7525,4.7077,75.72,15,100,9.28,overcast clouds
339,Khandyga,RU,62.6667,135.6,-10.19,99,98,2.28,overcast clouds
340,Priargunsk,RU,50.3691,119.1012,15.13,94,100,5.21,light snow
341,Ziro,IN,27.6333,93.8333,38.8,75,0,2.91,clear sky
342,Tacuati,PY,-23.45,-56.5833,73.71,52,0,4.25,clear sky
343,Boende,CD,-0.2167,20.8667,72.05,87,100,1.32,overcast clouds
344,Berezanka,UA,46.8526,31.388,46.65,81,0,4.65,clear sky
345,Buarcos,PT,40.166,-8.8768,51.91,70,98,18.39,overcast clouds
346,San Patricio,US,28.017,-97.5169,55.26,83,100,9.04,overcast clouds
